Namespace(data_folder='./data/', data_name='grey_train_pool', hidden_size=10, loss_model=3, lr=0.0001, num_epoch=100001, out_dim=32, sar_size1=5, sar_size2=11, sar_size3=17, save_epoch=5000, test_epoch=100, test_n_query=1, test_n_shot=5, test_n_way=7, test_num=0, train_n_query=15, train_n_shot=5, train_n_way=7, trainset_ratio=0.7)
epoch: 74499, test_acc: 89.86 %, loss: 0.0454
epoch: 74999, test_acc: 90.94 %, loss: 0.0503
epoch: 75499, test_acc: 90.69 %, loss: 0.0029
epoch: 75999, test_acc: 90.69 %, loss: 0.0010
epoch: 76499, test_acc: 90.97 %, loss: 0.0341
epoch: 76999, test_acc: 90.46 %, loss: 0.0178
epoch: 77499, test_acc: 90.40 %, loss: 0.0144
epoch: 77999, test_acc: 90.23 %, loss: 0.0113
epoch: 78499, test_acc: 89.46 %, loss: 0.0033
epoch: 78999, test_acc: 92.09 %, loss: 0.0283
epoch: 79499, test_acc: 90.49 %, loss: 0.0404
epoch: 79999, test_acc: 90.14 %, loss: 0.0074
epoch: 80499, test_acc: 89.14 %, loss: 0.0099
epoch: 80999, test_acc: 90.20 %, loss: 0.0013
epoch: 81499, test_acc: 90.40 %, loss: 0.0157
epoch: 81999, test_acc: 90.57 %, loss: 0.0362
epoch: 82499, test_acc: 89.37 %, loss: 0.0189
epoch: 82999, test_acc: 90.26 %, loss: 0.0013
epoch: 83499, test_acc: 90.11 %, loss: 0.0021
epoch: 83999, test_acc: 90.54 %, loss: 0.0096
epoch: 84499, test_acc: 91.51 %, loss: 0.0009
epoch: 84999, test_acc: 90.09 %, loss: 0.0048
epoch: 85499, test_acc: 90.74 %, loss: 0.0224
epoch: 85999, test_acc: 91.43 %, loss: 0.0117
epoch: 86499, test_acc: 89.83 %, loss: 0.0055
